# #72 4 [106.;154.;  0.;  0.][248.;236.; 42.;172.]
# 
0.35740,0.98107,0.33326,-0.23325
0.50147,0.37884,0.17804,0.01235
0.60323,0.04235,0.05725,-0.02326
0.90664,0.74365,0.11802,0.02100
0.91333,0.44702,-0.11899,0.03485
0.86407,0.70178,0.13491,0.02717
0.91330,0.44704,-0.11908,0.03490
0.02688,0.55366,-0.06348,-0.05425
0.79031,0.62995,-0.12699,0.04261
0.96510,0.44218,-0.05556,-0.01554
0.00805,0.48534,0.00003,0.01491
0.26599,0.99320,0.18098,0.00236
0.38651,0.96231,-0.07494,-0.01735
0.50633,0.86620,-0.17102,0.02093
0.54773,0.84842,-0.17687,0.01985
0.02955,0.66379,0.09527,0.07751
0.46864,0.88122,-0.17297,0.02298
0.38666,0.96169,-0.07441,-0.01678
0.93939,0.75824,0.08668,-0.01105
0.30705,0.75000,-0.03706,-0.12776
0.62232,0.01975,-0.03969,0.02132
0.09942,0.71744,-0.15882,-0.07371
0.81760,0.64897,0.14286,0.04190
0.96510,0.44204,-0.05560,-0.01550
0.14820,0.91317,0.19153,0.05809
0.99312,0.64249,0.00817,-0.05578
0.96461,0.74932,0.05612,-0.02140
0.60321,0.04241,0.05713,-0.02326
0.11279,0.86001,0.21439,0.06688
0.09945,0.71747,-0.15877,-0.07365
0.02689,0.55371,-0.06349,-0.05425
0.55526,0.40183,0.18843,0.02753
0.62329,0.44646,0.19178,0.03628
0.68765,0.74351,-0.24998,0.04943
0.20160,0.83332,-0.22225,-0.05040
0.30241,0.71181,0.00007,-0.18032
0.46811,0.88355,-0.27231,0.02063
0.26605,0.99320,0.18096,0.00235
0.34564,0.89808,-0.23749,-0.19466
0.99007,0.70097,0.02158,-0.05833
0.20155,0.83328,-0.22231,-0.05041
0.42669,0.37538,0.17221,-0.00506
0.41082,0.81305,0.99595,-0.99670
0.00807,0.48542,-0.00006,0.01499
0.36689,0.41219,0.15676,-0.03155
0.02953,0.66374,0.09533,0.07751
0.36302,0.88982,-0.49986,-0.02322
0.53286,0.22901,-0.57039,0.84675
0.68037,0.49925,0.19486,0.04756
0.41100,0.81442,0.99660,-0.99609
0.58874,0.09316,-0.33264,0.18637
0.35443,0.98325,0.33127,-0.23000
0.53226,0.22881,-0.57143,0.84884
0.58875,0.09313,-0.33268,0.18567
0.79030,0.62997,-0.12694,0.04263
0.42307,0.90945,-0.00288,0.03656
0.62233,0.01972,-0.03969,0.02134
0.91333,0.44702,-0.11899,0.03485
0.36295,0.88982,-0.49992,-0.02323
0.68752,0.74362,-0.24999,0.04941
0.34481,0.89757,-0.23736,-0.19525
0.35385,0.41213,0.15439,-0.03636
0.75748,0.58006,0.15094,0.04018
0.42354,0.91066,-0.00406,0.03657
0.99406,0.59577,0.01163,-0.05552
0.86597,0.52022,-0.27385,0.08916
0.07666,0.80536,0.23755,0.07517
0.29877,0.67349,0.04313,-0.23816
0.45740,0.88687,-0.22396,0.02699
0.75395,0.57197,0.11887,0.04932
0.99384,0.58548,0.00780,-0.05710
0.86619,0.51989,-0.27406,0.08923
