# X, Y, VelX, VelY |[ 18.;130.;  0.;  0.][304.;342.;126.;106.]
0.26316,0.80702,0.06349,0.03774
0.28947,0.81871,0.11111,0.09434
0.33553,0.84795,0.09524,0.05660
0.37500,0.86550,0.15873,0.03774
0.44079,0.87719,0.07937,0.00000
0.47368,0.87719,0.17460,-0.03774
0.54605,0.86550,0.11111,-0.07547
0.59211,0.84211,0.09524,-0.09434
0.63158,0.81287,0.07937,-0.13208
0.66447,0.77193,0.03175,-0.07547
0.67763,0.74854,0.11111,-0.24528
0.72368,0.67251,0.04762,-0.16981
0.74342,0.61988,0.03175,-0.09434
0.75658,0.59064,0.04762,-0.18868
0.77632,0.53216,0.06349,-0.28302
0.80263,0.44444,0.01587,-0.11321
0.80921,0.40936,0.03175,-0.16981
0.82237,0.35673,0.01587,-0.18868
0.82895,0.29825,0.01587,-0.24528
0.83553,0.22222,0.01587,-0.24528
0.84211,0.14620,0.01587,-0.07547
0.84868,0.12281,0.01587,-0.09434
0.85526,0.09357,-0.01587,-0.05660
0.84868,0.07602,0.01587,-0.05660
0.85526,0.05848,0.01587,-0.03774
0.86184,0.04678,-0.01587,-0.01887
0.85526,0.04094,0.01587,-0.01887
0.86184,0.03509,0.00000,0.00000
0.86184,0.03509,-0.01587,0.00000
0.85526,0.03509,0.01587,0.03774
0.86184,0.04678,-0.01587,0.01887
0.85526,0.05263,0.00000,0.07547
0.85526,0.07602,-0.01587,0.03774
0.84868,0.08772,0.01587,0.01887
0.85526,0.09357,0.00000,0.07547
0.85526,0.11696,-0.01587,0.09434
0.84868,0.14620,0.01587,0.09434
0.85526,0.17544,0.00000,0.09434
0.85526,0.20468,-0.01587,0.11321
0.84868,0.23977,-0.01587,0.07547
0.84211,0.26316,0.00000,0.20755
0.84211,0.32749,0.01587,0.07547
0.84868,0.35088,-0.01587,0.22642
0.84211,0.42105,0.00000,0.15094
0.84211,0.46784,0.01587,0.16981
0.84868,0.52047,-0.01587,0.15094
0.84211,0.56725,-0.01587,0.16981
0.83553,0.61988,0.00000,0.15094
0.83553,0.66667,-0.03175,0.28302
0.82237,0.75439,0.00000,0.15094
0.82237,0.80117,0.00000,0.07547
0.82237,0.82456,0.00000,0.09434
0.82237,0.85380,0.01587,0.09434
0.82895,0.88304,0.01587,0.05660
0.83553,0.90058,0.01587,0.01887
0.84211,0.90643,0.03175,-0.01887
0.85526,0.90058,0.01587,-0.05660
0.86184,0.88304,0.03175,-0.05660
0.87500,0.86550,0.04762,-0.11321
0.89474,0.83041,0.03175,-0.11321
0.90789,0.79532,0.01587,-0.13208
0.91447,0.75439,0.03175,-0.11321
0.92763,0.71930,0.00000,-0.09434
0.92763,0.69006,0.03175,-0.18868
0.94079,0.63158,0.01587,-0.07547
0.94737,0.60819,0.01587,-0.11321
0.95395,0.57310,0.01587,-0.09434
0.96053,0.54386,0.00000,-0.09434
0.96053,0.51462,0.00000,-0.09434
0.96053,0.48538,0.01587,-0.07547
0.96711,0.46199,-0.01587,-0.03774
0.96053,0.45029,-0.01587,-0.07547
0.95395,0.42690,-0.01587,-0.05660
0.94737,0.40936,-0.01587,0.00000
0.94079,0.40936,-0.01587,-0.01887
0.93421,0.40351,-0.03175,-0.01887
0.92105,0.39766,-0.03175,0.00000
0.90789,0.39766,-0.01587,0.01887
0.90132,0.40351,-0.06349,0.03774
0.87500,0.41520,-0.04762,0.05660
0.85526,0.43275,-0.04762,0.05660
0.83553,0.45029,-0.04762,0.05660
0.81579,0.46784,-0.04762,0.05660
0.79605,0.48538,-0.04762,0.05660
0.77632,0.50292,-0.06349,0.05660
0.75000,0.52047,-0.07937,0.09434
0.71711,0.54971,-0.04762,0.03774
0.69737,0.56140,-0.07937,0.05660
0.66447,0.57895,-0.11111,0.11321
0.61842,0.61404,-0.07937,0.03774
0.58553,0.62573,-0.07937,0.03774
0.55263,0.63743,-0.09524,0.07547
0.51316,0.66082,-0.09524,0.03774
0.47368,0.67251,-0.03175,0.01887
0.46053,0.67836,-0.11111,0.03774
0.41447,0.69006,-0.07937,0.01887
0.38158,0.69591,-0.09524,0.01887
0.34211,0.70175,-0.12698,0.00000
0.28947,0.70175,-0.06349,0.00000
0.26316,0.70175,-0.07937,-0.01887
0.23026,0.69591,-0.07937,-0.03774
0.19737,0.68421,-0.04762,-0.03774
0.17763,0.67251,-0.07937,-0.05660
0.14474,0.65497,-0.04762,-0.05660
