# X, Y, VelX, VelY |[481.;224.;  0.;  0.][759.;589.;741.;553.]
0.61792,0.87606,0.00000,0.00181
0.61792,0.87776,0.00000,0.00000
0.61792,0.87776,0.00270,0.00542
0.62055,0.88285,0.00135,0.00362
0.62187,0.88625,0.00135,0.00362
0.62319,0.88964,0.00135,0.00000
0.62451,0.88964,0.00270,0.00000
0.62714,0.88964,0.00135,0.00000
0.62846,0.88964,0.00135,-0.00181
0.62978,0.88795,0.00000,-0.00181
0.62978,0.88625,0.00135,-0.00181
0.63109,0.88455,0.00000,0.00000
0.63109,0.88455,0.00000,0.00000
0.63109,0.88455,-0.00135,0.00000
0.62978,0.88455,-0.00135,0.00000
0.62846,0.88455,0.00000,-0.00181
0.62846,0.88285,0.00000,0.00000
0.62846,0.88285,0.00000,0.00000
0.62846,0.88285,0.00135,0.00181
0.62978,0.88455,0.00000,0.00000
0.62978,0.88455,0.00000,0.00181
0.62978,0.88625,0.00135,0.00000
0.63109,0.88625,0.00000,0.00000
0.63109,0.88625,0.00000,0.00000
0.63109,0.88625,0.00135,0.00362
0.63241,0.88964,-0.00135,0.00000
0.63109,0.88964,0.00135,0.00181
0.63241,0.89134,0.00135,0.00000
0.63373,0.89134,0.00000,0.00362
0.63373,0.89474,0.00135,-0.00181
0.63505,0.89304,0.00135,-0.00181
0.63636,0.89134,-0.00135,-0.00362
0.63505,0.88795,0.00135,-0.00181
0.63636,0.88625,0.00135,0.00000
0.63768,0.88625,-0.00270,-0.00362
0.63505,0.88285,0.00000,-0.00181
0.63505,0.88115,0.00135,0.00000
0.63636,0.88115,0.00000,-0.00181
0.63636,0.87946,-0.00135,-0.00362
0.63505,0.87606,0.00135,-0.00181
0.63636,0.87436,0.00000,0.00000
0.63636,0.87436,0.00135,0.00000
0.63768,0.87436,0.00000,0.00000
0.63768,0.87436,0.00000,-0.00181
0.63768,0.87267,0.00000,-0.00181
0.63768,0.87097,0.00000,0.00000
0.63768,0.87097,0.00000,-0.00181
0.63768,0.86927,0.00000,0.00181
0.63768,0.87097,0.00135,-0.00181
0.63900,0.86927,0.00000,-0.00181
0.63900,0.86757,-0.00135,-0.00181
0.63768,0.86587,0.00000,0.00000
0.63768,0.86587,0.00000,0.00181
0.63768,0.86757,0.00000,0.00000
0.63768,0.86757,-0.00135,0.00000
0.63636,0.86757,-0.00135,-0.00181
0.63505,0.86587,0.00000,0.00000
0.63505,0.86587,-0.00135,0.00181
0.63373,0.86757,-0.00135,-0.00181
0.63241,0.86587,0.00000,0.00000
0.63241,0.86587,0.00000,0.00000
0.63241,0.86587,0.00135,0.00000
0.63373,0.86587,-0.00135,0.00000
0.63241,0.86587,0.00135,0.00000
0.63373,0.86587,0.00135,0.00000
0.63505,0.86587,-0.00135,0.00181
0.63373,0.86757,0.00000,0.00181
0.63373,0.86927,-0.00135,-0.00362
0.63241,0.86587,0.00000,0.00000
0.63241,0.86587,0.00135,0.00181
0.63373,0.86757,0.00000,-0.00181
0.63373,0.86587,-0.00135,0.00000
0.63241,0.86587,0.00135,0.00000
0.63373,0.86587,-0.00270,-0.00362
0.63109,0.86248,0.00270,0.00000
0.63373,0.86248,0.00000,0.00000
0.63373,0.86248,-0.00135,0.00000
0.63241,0.86248,0.00000,0.00000
0.63241,0.86248,-0.00135,0.00181
0.63109,0.86418,0.00135,0.00000
0.63241,0.86418,-0.00135,0.00000
0.63109,0.86418,0.00000,0.00000
0.63109,0.86418,-0.00135,0.00181
0.62978,0.86587,-0.00135,-0.00181
0.62846,0.86418,0.00135,0.00181
0.62978,0.86587,0.00000,-0.00181
0.62978,0.86418,-0.00135,-0.00181
0.62846,0.86248,0.00000,0.00000
0.62846,0.86248,0.00000,0.00000
0.62846,0.86248,0.00135,0.00000
0.62978,0.86248,-0.00270,-0.00181
0.62714,0.86078,0.00135,0.00000
0.62846,0.86078,0.00000,0.00000
0.62846,0.86078,0.00000,0.00000
0.62846,0.86078,0.00000,0.00000
0.62846,0.86078,0.00000,0.00000
0.62846,0.86078,0.00000,0.00000
0.62846,0.86078,0.00135,0.00000
0.62978,0.86078,0.00135,0.00000
0.63109,0.86078,0.00000,0.00181
0.63109,0.86248,0.00000,0.00000
0.63109,0.86248,0.00000,0.00000
0.63109,0.86248,0.00000,0.00000
0.63109,0.86248,0.00000,-0.00181
0.63109,0.86078,0.00135,0.00000
0.63241,0.86078,0.00135,0.00000
0.63373,0.86078,0.00000,-0.00181
0.63373,0.85908,0.00000,0.00000
0.63373,0.85908,-0.00270,-0.00362
0.63109,0.85569,0.00135,0.00000
0.63241,0.85569,-0.00135,-0.00181
0.63109,0.85399,-0.00135,-0.00181
0.62978,0.85229,-0.00405,-0.00181
0.62582,0.85059,-0.00540,-0.00181
0.62055,0.84890,-0.00810,-0.00542
0.61265,0.84380,-0.01080,-0.01085
0.60211,0.83362,-0.01215,-0.00542
0.59025,0.82852,-0.01080,-0.01085
0.57971,0.81834,-0.01754,-0.00723
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,0.00000,0.00000
0.56258,0.81154,-0.34278,-0.17360
0.22793,0.64856,-0.01350,-0.00723
0.21476,0.64177,-0.01080,-0.00723
0.20422,0.63497,-0.00540,-0.00542
0.19895,0.62988,-0.00405,-0.00181
0.19499,0.62818,0.00000,-0.00362
0.19499,0.62479,0.00000,0.00000
0.19499,0.62479,0.00270,-0.00181
0.19763,0.62309,0.00135,0.00362
0.19895,0.62649,0.00405,0.00000
0.20290,0.62649,0.00135,0.00181
0.20422,0.62818,0.00135,0.00000
0.20553,0.62818,-0.00135,0.00000
0.20422,0.62818,0.00000,-0.00181
0.20422,0.62649,0.00135,0.00000
0.20553,0.62649,0.00000,0.00000
0.20553,0.62649,0.00000,0.00904
0.20553,0.63497,0.00270,0.00542
0.20817,0.64007,0.00135,0.01266
0.20949,0.65195,0.00405,0.01266
0.21344,0.66384,0.00405,0.01447
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.00000,0.00000
0.21739,0.67742,0.36302,-0.72152
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.00000,0.00000
0.57181,0.00000,0.40621,0.92043
0.96838,0.86418,0.00000,-0.02351
0.96838,0.84211,-0.00270,-0.01447
0.96574,0.82852,-0.00540,-0.00542
0.96047,0.82343,-0.00945,0.00723
