# X, Y, VelX, VelY |[169.; 47.;  0.;  0.][293.;307.; 27.; 23.]
0.10580,0.86971,-0.14815,-0.04348
0.09215,0.86645,-0.07407,-0.13043
0.08532,0.85668,-0.03704,-0.21739
0.08191,0.84039,0.00000,-0.30435
0.08191,0.81759,0.07407,-0.39130
0.08874,0.78827,0.03704,-0.43478
0.09215,0.75570,0.03704,-0.47826
0.09556,0.71987,0.03704,-0.47826
0.09898,0.68404,0.03704,-0.52174
0.10239,0.64495,-0.03704,-0.52174
0.09898,0.60586,0.03704,-0.47826
0.10239,0.57003,0.00000,-0.52174
0.10239,0.53094,0.03704,-0.52174
0.10580,0.49186,0.07407,-0.52174
0.11263,0.45277,0.07407,-0.47826
0.11945,0.41694,0.00000,-0.47826
0.11945,0.38111,0.07407,-0.43478
0.12628,0.34853,0.03704,-0.43478
0.12969,0.31596,0.00000,-0.34783
0.12969,0.28990,0.03704,-0.34783
0.13311,0.26384,0.11111,-0.21739
0.14334,0.24756,0.11111,-0.17391
0.15358,0.23453,0.22222,-0.08696
0.17406,0.22801,0.25926,-0.04348
0.19795,0.22476,0.33333,0.04348
0.22867,0.22801,0.29630,0.00000
0.25597,0.22801,0.37037,0.04348
0.29010,0.23127,0.37037,0.00000
0.32423,0.23127,0.37037,-0.04348
0.35836,0.22801,0.40741,0.00000
0.39590,0.22801,0.37037,-0.08696
0.43003,0.22150,0.44444,0.00000
0.47099,0.22150,0.48148,-0.04348
0.51536,0.21824,0.44444,0.00000
0.55631,0.21824,0.48148,0.04348
0.60068,0.22150,0.48148,0.04348
0.64505,0.22476,0.48148,0.08696
0.68942,0.23127,0.44444,0.08696
0.73038,0.23779,0.44444,0.04348
0.77133,0.24104,0.37037,0.08696
0.80546,0.24756,0.33333,0.00000
0.83618,0.24756,0.29630,0.00000
0.86348,0.24756,0.22222,0.00000
0.88396,0.24756,0.22222,-0.04348
0.90444,0.24430,0.18519,0.00000
0.92150,0.24430,0.11111,-0.04348
0.93174,0.24104,0.11111,0.04348
0.94198,0.24430,0.11111,0.08696
0.95222,0.25081,0.03704,0.08696
0.95563,0.25733,0.07407,0.08696
0.96246,0.26384,0.03704,0.13043
0.96587,0.27362,0.00000,0.17391
0.96587,0.28664,-0.07407,0.21739
0.95904,0.30293,-0.03704,0.30435
0.95563,0.32573,-0.07407,0.34783
0.94881,0.35179,-0.11111,0.39130
0.93857,0.38111,-0.07407,0.43478
0.93174,0.41368,-0.03704,0.43478
0.92833,0.44625,0.00000,0.47826
0.92833,0.48208,-0.03704,0.52174
0.92491,0.52117,0.00000,0.52174
0.92491,0.56026,-0.03704,0.52174
0.92150,0.59935,0.00000,0.52174
0.92150,0.63844,0.00000,0.43478
0.92150,0.67101,-0.03704,0.39130
0.91809,0.70033,-0.03704,0.34783
0.91468,0.72638,-0.03704,0.34783
0.91126,0.75244,0.00000,0.30435
0.91126,0.77524,0.00000,0.26087
0.91126,0.79479,0.00000,0.21739
0.91126,0.81107,0.00000,0.17391
0.91126,0.82410,-0.07407,0.08696
0.90444,0.83062,-0.07407,0.04348
0.89761,0.83388,-0.14815,-0.04348
0.88396,0.83062,-0.22222,-0.04348
0.86348,0.82736,-0.25926,-0.08696
0.83959,0.82085,-0.33333,-0.04348
0.80887,0.81759,-0.33333,-0.04348
0.77816,0.81433,-0.40741,-0.04348
0.74061,0.81107,-0.40741,0.04348
0.70307,0.81433,-0.40741,0.04348
0.66553,0.81759,-0.50000,0.10870
0.61945,0.82573,-0.37037,-0.02174
0.58532,0.82410,-0.44444,-0.06522
0.54437,0.81922,-0.51852,0.28261
0.49659,0.84039,-0.51852,0.15217
0.44881,0.85179,-0.46296,0.00000
0.40614,0.85179,-0.48148,0.06522
0.36177,0.85668,-0.51852,0.10870
0.31399,0.86482,-0.42593,-0.04348
0.27474,0.86156,-0.44444,0.08696
0.23379,0.86808,-0.33333,0.00000
0.20307,0.86808,-0.62963,0.21739
0.14505,0.88436,-0.31481,-0.06522
0.11604,0.87948,-0.25926,-0.04348
0.09215,0.87622,-0.14815,-0.08696
0.07850,0.86971,-0.07407,-0.17391
0.07167,0.85668,-0.03704,-0.21739
0.06826,0.84039,0.03704,-0.26087
0.07167,0.82085,0.07407,-0.30435
0.07850,0.79805,0.07407,-0.39130
0.08532,0.76873,0.07407,-0.43478
0.09215,0.73616,0.07407,-0.47826
0.09898,0.70033,0.00000,-0.47826
0.09898,0.66450,0.00000,-0.56522
0.09898,0.62215,-0.03704,-0.52174
0.09556,0.58306,0.00000,-0.56522
0.09556,0.54072,0.03704,-0.56522
0.09898,0.49837,0.03704,-0.56522
0.10239,0.45603,0.07407,-0.56522
0.10922,0.41368,0.03704,-0.52174
