# X, Y, VelX, VelY |[ 85. ;192.5;  0. ;  0. ][455. ; 38.5; 21. ;  4. ]
0.97363,0.94805,-0.42857,-0.25000
0.95385,0.92208,-0.42857,-0.50000
0.93407,0.87013,-0.57143,-0.50000
0.90769,0.81818,-0.61905,-0.50000
0.87912,0.76623,-0.66667,-0.50000
0.84835,0.71429,-0.71429,-0.25000
0.81538,0.68831,-0.80952,-0.50000
0.77802,0.63636,-0.85714,-0.25000
0.73846,0.61039,-0.80952,0.00000
0.70110,0.61039,-0.90476,-0.25000
0.65934,0.58442,-0.90476,0.25000
0.61758,0.61039,-0.85714,0.00000
0.57802,0.61039,-0.90476,0.00000
0.53626,0.61039,-0.85714,0.25000
0.49670,0.63636,-0.85714,0.25000
0.45714,0.66234,-0.80952,0.25000
0.41978,0.68831,-0.71429,0.25000
0.38681,0.71429,-0.61905,0.25000
0.35824,0.74026,-0.66667,0.00000
0.32747,0.74026,-0.52381,0.00000
0.30330,0.74026,-0.42857,0.00000
0.28352,0.74026,-0.42857,0.00000
0.26374,0.74026,-0.42857,0.25000
0.24396,0.76623,-0.23810,0.00000
0.23297,0.76623,-0.23810,-0.25000
0.22198,0.74026,-0.23810,0.00000
0.21099,0.74026,-0.14286,-0.25000
0.20440,0.71429,-0.23810,-0.25000
0.19341,0.68831,-0.23810,-0.25000
0.18242,0.66234,-0.38095,0.00000
0.16484,0.66234,-0.23810,0.25000
0.15385,0.68831,-0.23810,0.00000
0.14286,0.68831,-0.09524,0.00000
0.13846,0.68831,0.09524,0.00000
0.14286,0.68831,0.28571,-0.25000
0.15604,0.66234,0.00000,0.00000
0.93187,0.61039,-0.04762,0.00000
0.92967,0.61039,-0.09524,0.00000
0.92527,0.61039,-0.19048,-0.25000
0.91648,0.58442,-0.28571,0.00000
0.90330,0.58442,-0.33333,0.00000
0.88791,0.58442,-0.42857,0.00000
0.86813,0.58442,-0.42857,0.25000
0.84835,0.61039,-0.47619,0.00000
0.82637,0.61039,-0.47619,-0.25000
0.80440,0.58442,-0.52381,-0.25000
0.78022,0.55844,-0.57143,-0.50000
0.75385,0.50649,-0.57143,-0.25000
0.72747,0.48052,-0.52381,-0.25000
0.70330,0.45455,-0.57143,-0.25000
0.67692,0.42857,-0.61905,-0.25000
0.64835,0.40260,-0.61905,0.00000
0.61978,0.40260,-0.61905,0.00000
0.59121,0.40260,-0.66667,0.25000
0.56044,0.42857,-0.66667,0.50000
0.52967,0.48052,-0.76190,0.25000
0.49451,0.50649,-0.66667,0.25000
0.46374,0.53247,-0.76190,0.50000
0.42857,0.58442,-0.71429,0.50000
0.39560,0.63636,-0.66667,0.25000
0.36484,0.66234,-0.71429,0.25000
0.33187,0.68831,-0.71429,0.25000
0.29890,0.71429,-0.66667,0.00000
0.26813,0.71429,-0.61905,0.00000
0.23956,0.71429,-0.61905,-0.25000
0.21099,0.68831,-0.52381,-0.25000
0.18681,0.66234,-0.52381,-0.50000
0.16264,0.61039,-0.47619,-0.50000
0.14066,0.55844,-0.38095,-0.25000
0.12308,0.53247,-0.19048,-0.25000
0.11429,0.50649,-0.04762,0.00000
0.11209,0.50649,0.00000,0.00000
