# X, Y, VelX, VelY |[221.;103.;  0.;  0.][238. ;229. ; 18. ; 18.5]
0.76471,0.13537,0.44444,0.43243
0.79832,0.17031,0.44444,0.48649
0.83193,0.20961,0.50000,0.59459
0.86975,0.25764,0.38889,0.64865
0.89916,0.31004,0.27778,0.59459
0.92017,0.35808,0.27778,0.64865
0.94118,0.41048,0.16667,0.64865
0.95378,0.46288,0.11111,0.64865
0.96218,0.51528,0.00000,0.64865
0.96218,0.56769,-0.11111,0.64865
0.95378,0.62009,-0.16667,0.59459
0.94118,0.66812,-0.22222,0.59459
0.92437,0.71616,-0.27778,0.54054
0.90336,0.75983,-0.38889,0.48649
0.87395,0.79913,-0.44444,0.43243
0.84034,0.83406,-0.50000,0.32432
0.80252,0.86026,-0.55556,0.27027
0.76050,0.88210,-0.66667,0.21622
0.71008,0.89956,-0.72222,0.10811
0.65546,0.90830,-0.72222,0.00000
0.60084,0.90830,-0.69444,0.02703
0.54832,0.91048,-0.80556,-0.35135
0.48739,0.88210,-0.77778,-0.32432
0.42857,0.85590,-0.66667,-0.37838
0.37815,0.82533,-0.88889,-0.43243
0.31092,0.79039,-0.36111,-0.64865
0.28361,0.73799,-0.58333,-0.64865
0.23950,0.68559,-0.38889,-0.70270
0.21008,0.62882,-0.27778,-0.75676
0.18908,0.56769,-0.11111,-0.81081
0.18067,0.50218,0.00000,-0.75676
0.18067,0.44105,0.05556,-0.75676
0.18487,0.37991,0.16667,-0.64865
0.19748,0.32751,0.27778,-0.64865
0.21849,0.27511,0.33333,-0.59459
0.24370,0.22707,0.38889,-0.48649
0.27311,0.18777,0.44444,-0.48649
0.30672,0.14847,0.44444,-0.37838
0.34034,0.11790,0.55556,-0.32432
0.38235,0.09170,0.55556,-0.27027
0.42437,0.06987,0.61111,-0.10811
0.47059,0.06114,0.61111,-0.10811
0.51681,0.05240,0.61111,0.00000
0.56303,0.05240,0.61111,0.05405
0.60924,0.05677,0.55556,0.10811
0.65126,0.06550,0.55556,0.16216
0.69328,0.07860,0.55556,0.21622
0.73529,0.09607,0.44444,0.32432
0.76891,0.12227,0.50000,0.32432
0.80672,0.14847,0.33333,0.45946
0.83193,0.18559,0.38889,0.40541
0.86134,0.21834,0.33333,0.43243
0.88655,0.25328,0.27778,0.54054
0.90756,0.29694,0.22222,0.59459
0.92437,0.34498,0.16667,0.59459
0.93697,0.39301,0.11111,0.64865
0.94538,0.44541,0.05556,0.64865
0.94958,0.49782,0.05556,0.64865
0.95378,0.55022,-0.11111,0.70270
0.94538,0.60699,-0.11111,0.70270
0.93697,0.66376,-0.22222,0.64865
0.92017,0.71616,-0.27778,0.64865
0.89916,0.76856,-0.44444,0.59459
0.86555,0.81659,-0.50000,0.54054
0.82773,0.86026,-0.61111,0.48649
0.78151,0.89956,-0.66667,0.37838
0.73109,0.93013,-0.72222,0.27027
0.67647,0.95197,-0.77778,0.10811
0.61765,0.96070,-0.83333,0.00000
0.55462,0.96070,-0.77778,-0.27027
0.49580,0.93886,-0.72222,-0.32432
0.44118,0.91266,-0.66667,-0.43243
0.39076,0.87773,-0.58333,-0.62162
0.34664,0.82751,-0.72222,-0.64865
0.29202,0.77511,-0.47222,-0.72973
0.25630,0.71616,-0.33333,-0.75676
0.23109,0.65502,-0.27778,-0.70270
0.21008,0.59825,-0.16667,-0.70270
0.19748,0.54148,-0.05556,-0.75676
0.19328,0.48035,0.00000,-0.70270
0.19328,0.42358,0.05556,-0.64865
0.19748,0.37118,0.16667,-0.59459
0.21008,0.32314,0.16667,-0.64865
0.22269,0.27074,0.27778,-0.54054
0.24370,0.22707,0.27778,-0.48649
0.26471,0.18777,0.27778,-0.43243
0.28571,0.15284,0.38889,-0.43243
0.31513,0.11790,0.44444,-0.21622
0.34874,0.10044,0.44444,-0.16216
0.38235,0.08734,0.55556,-0.16216
0.42437,0.07424,0.55556,-0.05405
0.46639,0.06987,0.55556,-0.05405
0.50840,0.06550,0.55556,0.00000
0.55042,0.06550,0.55556,0.00000
0.59244,0.06550,0.55556,0.10811
0.63445,0.07424,0.61111,0.16216
0.68067,0.08734,0.50000,0.21622
0.71849,0.10480,0.55556,0.27027
0.76050,0.12664,0.50000,0.37838
0.79832,0.15721,0.44444,0.37838
0.83193,0.18777,0.38889,0.54054
0.86134,0.23144,0.33333,0.59459
0.88655,0.27948,0.33333,0.64865
0.91176,0.33188,0.16667,0.70270
0.92437,0.38865,0.16667,0.70270
0.93697,0.44541,0.05556,0.70270
0.94118,0.50218,0.00000,0.64865
0.94118,0.55459,-0.11111,0.64865
0.93277,0.60699,-0.16667,0.64865
0.92017,0.65939,-0.27778,0.59459
0.89916,0.70742,-0.33333,0.54054
0.87395,0.75109,-0.38889,0.54054
0.84454,0.79476,-0.50000,0.48649
0.80672,0.83406,-0.55556,0.43243
0.76471,0.86900,-0.61111,0.32432
0.71849,0.89520,-0.66667,0.21622
0.66807,0.91266,-0.77778,0.05405
0.60924,0.91703,-0.72222,-0.05405
0.55462,0.91266,-0.66667,-0.27027
0.50420,0.89083,-0.77778,-0.32432
0.44538,0.86463,-0.61111,-0.43243
0.39916,0.82969,-0.66667,-0.64865
0.34874,0.77729,-0.58333,-0.51351
0.30462,0.73581,-0.44444,-0.64865
0.27101,0.68341,-0.44444,-0.62162
0.23739,0.63319,-0.19444,-0.81081
0.22269,0.56769,-0.11111,-0.70270
0.21429,0.51092,0.00000,-0.70270
0.21429,0.45415,0.11111,-0.75676
0.22269,0.39301,0.16667,-0.70270
0.23529,0.33624,0.22222,-0.64865
0.25210,0.28384,0.27778,-0.64865
0.27311,0.23144,0.33333,-0.54054
0.29832,0.18777,0.44444,-0.54054
0.33193,0.14410,0.38889,-0.43243
0.36134,0.10917,0.50000,-0.32432
0.39916,0.08297,0.50000,-0.27027
0.43697,0.06114,0.55556,-0.16216
0.47899,0.04803,0.61111,-0.05405
0.52521,0.04367,0.55556,-0.05405
0.56723,0.03930,0.55556,0.10811
0.60924,0.04803,0.61111,0.10811
0.65546,0.05677,0.55556,0.21622
0.69748,0.07424,0.61111,0.32432
0.74370,0.10044,0.55556,0.32432
0.78571,0.12664,0.50000,0.43243
0.82353,0.16157,0.50000,0.43243
0.86134,0.19651,0.38889,0.54054
0.89076,0.24017,0.38889,0.48649
0.92017,0.27948,0.27778,0.59459
0.94118,0.32751,0.16667,0.64865
0.95378,0.37991,0.11111,0.59459
0.96218,0.42795,0.05556,0.64865
0.96639,0.48035,-0.05556,0.64865
0.96218,0.53275,-0.11111,0.59459
0.95378,0.58079,-0.16667,0.64865
0.94118,0.63319,-0.27778,0.64865
0.92017,0.68559,-0.33333,0.59459
0.89496,0.73362,-0.44444,0.54054
0.86134,0.77729,-0.50000,0.43243
0.82353,0.81223,-0.55556,0.32432
0.78151,0.83843,-0.61111,0.32432
0.73529,0.86463,-0.72222,0.21622
0.68067,0.88210,-0.72222,0.16216
0.62605,0.89520,-0.77778,0.00000
0.56723,0.89520,-0.72222,-0.10811
0.51261,0.88646,-0.63889,-0.21622
0.46429,0.86900,-0.69444,-0.43243
0.41176,0.83406,-0.61111,-0.37838
0.36555,0.80349,-0.63889,-0.70270
0.31723,0.74672,-0.52778,-0.70270
0.27731,0.68996,-0.38889,-0.70270
0.24790,0.63319,-0.33333,-0.70270
0.22269,0.57642,-0.16667,-0.70270
0.21008,0.51965,0.00000,-0.70270
0.21008,0.46288,0.11111,-0.86486
0.21849,0.39301,0.00000,-0.48649
0.21849,0.35371,0.16667,-0.64865
0.23109,0.30131,0.27778,-0.54054
0.25210,0.25764,0.33333,-0.54054
0.27731,0.21397,0.33333,-0.48649
0.30252,0.17467,0.38889,-0.37838
0.33193,0.14410,0.50000,-0.37838
0.36975,0.11354,0.44444,-0.27027
0.40336,0.09170,0.55556,-0.16216
0.44538,0.07860,0.50000,-0.16216
0.48319,0.06550,0.55556,-0.05405
0.52521,0.06114,0.55556,-0.05405
0.56723,0.05677,0.61111,0.05405
0.61345,0.06114,0.55556,0.10811
0.65546,0.06987,0.55556,0.16216
0.69748,0.08297,0.61111,0.16216
0.74370,0.09607,0.50000,0.27027
0.78151,0.11790,0.55556,0.32432
0.82353,0.14410,0.55556,0.43243
0.86555,0.17904,0.50000,0.48649
0.90336,0.21834,0.38889,0.54054
0.93277,0.26201,0.38889,0.70270
0.96218,0.31878,0.22222,0.70270
0.97899,0.37555,0.16667,0.75676
0.99160,0.43668,0.11111,0.75676
1.00000,0.49782,-0.05556,0.75676
0.99580,0.55895,-0.11111,0.75676
0.98739,0.62009,-0.27778,0.70270
0.96639,0.67686,-0.33333,0.70270
0.94118,0.73362,-0.44444,0.70270
0.90756,0.79039,-0.44444,0.54054
0.87395,0.83406,-0.61111,0.48649
0.82773,0.87336,-0.66667,0.37838
0.77731,0.90393,-0.77778,0.27027
0.71849,0.92576,-0.83333,0.16216
0.65546,0.93886,-0.63889,0.02703
0.60714,0.94105,-0.75000,-0.21622
0.55042,0.92358,-0.86111,-0.27027
0.48529,0.90175,-0.77778,-0.35135
0.42647,0.87336,-0.72222,-0.51351
0.37185,0.83188,-0.61111,-0.78378
0.32563,0.76856,-0.44444,-0.72973
0.29202,0.70961,-0.27778,-0.81081
0.27101,0.64410,-0.30556,-0.83784
0.24790,0.57642,-0.11111,-0.75676
0.23950,0.51528,-0.05556,-0.81081
0.23529,0.44978,0.11111,-0.70270
0.24370,0.39301,0.16667,-0.70270
0.25630,0.33624,0.22222,-0.64865
0.27311,0.28384,0.27778,-0.54054
0.29412,0.24017,0.33333,-0.48649
0.31933,0.20087,0.38889,-0.43243
0.34874,0.16594,0.44444,-0.37838
0.38235,0.13537,0.44444,-0.27027
0.41597,0.11354,0.50000,-0.21622
0.45378,0.09607,0.55556,-0.16216
0.49580,0.08297,0.55556,-0.10811
0.53782,0.07424,0.55556,0.00000
0.57983,0.07424,0.61111,0.10811
0.62605,0.08297,0.55556,0.10811
0.66807,0.09170,0.55556,0.21622
0.71008,0.10917,0.55556,0.21622
0.75210,0.12664,0.50000,0.27027
0.78992,0.14847,0.50000,0.27027
0.82773,0.17031,0.38889,0.32432
0.85714,0.19651,0.38889,0.43243
0.88655,0.23144,0.27778,0.43243
0.90756,0.26638,0.16667,0.43243
0.92017,0.30131,0.16667,0.48649
0.93277,0.34061,0.11111,0.54054
0.94118,0.38428,0.00000,0.54054
0.94118,0.42795,0.05556,0.54054
0.94538,0.47162,0.00000,0.59459
0.94538,0.51965,-0.11111,0.54054
0.93697,0.56332,-0.11111,0.54054
0.92857,0.60699,-0.27778,0.59459
0.90756,0.65502,-0.27778,0.59459
0.88655,0.70306,-0.38889,0.54054
0.85714,0.74672,-0.44444,0.48649
0.82353,0.78603,-0.55556,0.37838
0.78151,0.81659,-0.66667,0.32432
0.73109,0.84279,-0.72222,0.21622
0.67647,0.86026,-0.83333,0.10811
0.61345,0.86900,-0.83333,0.05405
0.55042,0.87336,-0.66667,-0.16216
0.50000,0.86026,-0.86111,-0.16216
0.43487,0.84716,-0.83333,-0.48649
0.37185,0.80786,-0.83333,-0.43243
0.30882,0.77293,-0.75000,-0.64865
0.25210,0.72052,-0.50000,-0.70270
0.21429,0.66376,-0.38889,-0.81081
0.18487,0.59825,-0.27778,-0.75676
0.16387,0.53712,-0.11111,-0.81081
0.15546,0.47162,-0.05556,-0.81081
0.15126,0.40611,0.11111,-0.75676
0.15966,0.34498,0.16667,-0.70270
0.17227,0.28821,0.27778,-0.64865
0.19328,0.23581,0.33333,-0.54054
0.21849,0.19214,0.44444,-0.48649
0.25210,0.15284,0.44444,-0.43243
0.28571,0.11790,0.50000,-0.37838
0.32353,0.08734,0.55556,-0.27027
0.36555,0.06550,0.55556,-0.16216
0.40756,0.05240,0.55556,-0.16216
0.44958,0.03930,0.61111,0.00000
0.49580,0.03930,0.61111,0.00000
0.54202,0.03930,0.55556,0.16216
0.58403,0.05240,0.61111,0.16216
0.63025,0.06550,0.55556,0.21622
0.67227,0.08297,0.50000,0.32432
0.71008,0.10917,0.55556,0.32432
0.75210,0.13537,0.44444,0.43243
0.78571,0.17031,0.44444,0.43243
0.81933,0.20524,0.33333,0.43243
0.84454,0.24017,0.27778,0.48649
0.86555,0.27948,0.27778,0.54054
0.88655,0.32314,0.16667,0.59459
0.89916,0.37118,0.16667,0.54054
0.91176,0.41485,0.11111,0.59459
0.92017,0.46288,0.05556,0.59459
0.92437,0.51092,0.05556,0.64865
0.92857,0.56332,0.00000,0.64865
0.92857,0.61572,-0.11111,0.59459
0.92017,0.66376,-0.11111,0.64865
0.91176,0.71616,-0.16667,0.64865
0.89916,0.76856,-0.27778,0.59459
0.87815,0.81659,-0.38889,0.54054
0.84874,0.86026,-0.50000,0.48649
0.81092,0.89956,-0.50000,0.37838
0.77311,0.93013,-0.61111,0.37838
0.72689,0.96070,-0.66667,0.21622
0.67647,0.97817,-0.72222,0.10811
0.62185,0.98690,-0.83333,0.05405
0.55882,0.99127,-0.72222,-0.10811
0.50420,0.98253,-0.88889,-0.21622
0.43697,0.96507,-0.72222,-0.37838
0.38235,0.93450,-0.66667,-0.54054
0.33193,0.89083,-0.47222,-0.64865
0.29622,0.83843,-0.61111,-0.83784
0.25000,0.77074,-0.25000,-0.86486
0.23109,0.70087,-0.33333,-1.00000
0.20588,0.62009,-0.11111,-0.91892
0.19748,0.54585,0.05556,-0.91892
0.20168,0.47162,0.16667,-0.86486
0.21429,0.40175,0.22222,-0.75676
0.23109,0.34061,0.33333,-0.70270
0.25630,0.28384,0.44444,-0.54054
0.28992,0.24017,0.50000,-0.48649
0.32773,0.20087,0.55556,-0.37838
0.36975,0.17031,0.61111,-0.27027
0.41597,0.14847,0.55556,-0.27027
0.45798,0.12664,0.55556,-0.21622
0.50000,0.10917,0.44444,-0.21622
0.53361,0.09170,0.44444,-0.21622
0.56723,0.07424,0.00000,0.00000
