# X, Y, VelX, VelY |[ 86.;106.;  0.;  0.][242.;306.; 88.;144.]
0.84298,0.08497,0.00000,-0.05556
0.84298,0.05882,0.02273,-0.05556
0.85124,0.03268,0.00000,-0.01389
0.85124,0.02614,0.00000,-0.01389
0.85124,0.01961,0.00000,0.02778
0.85124,0.03268,-0.02273,0.15278
0.84298,0.10458,0.00000,0.08333
0.84298,0.14379,0.00000,0.19444
0.84298,0.23529,-0.02273,0.05556
0.83471,0.26144,-0.04545,0.54167
0.81818,0.51634,-0.02273,0.36111
0.80992,0.68627,0.00000,0.02778
0.80992,0.69935,0.00000,0.30556
0.80992,0.84314,0.00000,0.02778
0.80992,0.85621,0.02273,-0.01389
0.81818,0.84967,0.04545,-0.02778
0.83471,0.83660,0.04545,-0.05556
0.85124,0.81046,0.06818,-0.13889
0.87603,0.74510,0.06818,-0.16667
0.90083,0.66667,0.00000,-0.11111
0.90083,0.61438,0.00000,-0.09722
0.90083,0.56863,-0.02273,-0.02778
0.89256,0.55556,-0.04545,-0.01389
0.87603,0.54902,-0.06818,0.01389
0.85124,0.55556,-0.02273,0.01389
0.84298,0.56209,-0.09091,0.04167
0.80992,0.58170,-0.04545,0.01389
0.79339,0.58824,-0.09091,0.04167
0.76033,0.60784,-0.15909,0.08333
0.70248,0.64706,-0.04545,0.01389
0.68595,0.65359,-0.09091,0.05556
0.65289,0.67974,-0.13636,0.05556
0.60331,0.70588,-0.29545,0.09722
0.49587,0.75163,-0.09091,0.00000
0.46281,0.75163,-0.06818,0.02778
0.43802,0.76471,-0.29545,0.00000
0.33058,0.76471,-0.13636,-0.01389
0.28099,0.75817,-0.11364,-0.01389
0.23967,0.75163,-0.13636,-0.02778
0.19008,0.73856,-0.15909,-0.05556
0.13223,0.71242,-0.04545,-0.02778
0.11570,0.69935,-0.13636,-0.09722
0.06612,0.65359,-0.06818,-0.08333
0.04132,0.61438,-0.04545,-0.08333
0.02479,0.57516,0.02273,-0.41667
0.03306,0.37908,0.00000,-0.02778
0.03306,0.36601,0.02273,-0.02778
0.04132,0.35294,0.02273,0.00000
0.04959,0.35294,-0.02273,0.04167
0.04132,0.37255,-0.02273,0.04167
0.03306,0.39216,-0.04545,0.05556
0.01653,0.41830,0.13636,0.63889
0.06612,0.71895,0.09091,0.12500
0.09917,0.77778,0.27273,0.20833
0.19835,0.87582,0.15909,0.06944
0.25620,0.90850,0.18182,0.06944
0.32231,0.94118,0.18182,0.04167
0.38843,0.96078,0.15909,0.00000
0.44628,0.96078,0.59091,-0.26389
0.66116,0.83660,0.00000,0.00000
0.82645,0.18301,0.02273,-0.18056
0.83471,0.09804,0.00000,-0.02778
0.83471,0.08497,0.02273,-0.09722
0.84298,0.03922,0.00000,-0.01389
0.84298,0.03268,-0.02273,0.00000
