# X, Y, VelX, VelY |[  2.;162.;  0.;  0.][290.;314.;102.; 48.]
0.95172,0.07643,-0.03922,0.04167
0.93793,0.08280,0.01961,0.12500
0.94483,0.10191,0.00000,0.16667
0.94483,0.12739,0.00000,0.16667
0.94483,0.15287,-0.01961,0.20833
0.93793,0.18471,0.00000,0.20833
0.93793,0.21656,-0.01961,0.66667
0.93103,0.31847,0.00000,0.12500
0.93103,0.33758,-0.03922,0.41667
0.91724,0.40127,0.00000,0.37500
0.91724,0.45860,-0.01961,0.25000
0.91034,0.49682,-0.03922,0.29167
0.89655,0.54140,0.00000,0.08333
0.89655,0.55414,-0.07843,0.41667
0.86897,0.61783,-0.01961,0.12500
0.86207,0.63694,-0.05882,0.37500
0.84138,0.69427,-0.05882,0.20833
0.82069,0.72611,-0.03922,0.04167
0.80690,0.73248,-0.07843,0.20833
0.77931,0.76433,-0.11765,0.20833
0.73793,0.79618,-0.07843,0.12500
0.71034,0.81529,-0.09804,0.12500
0.67586,0.83439,-0.11765,0.08333
0.63448,0.84713,-0.11765,0.08333
0.59310,0.85987,-0.07843,0.00000
0.56552,0.85987,-0.13725,0.08333
0.51724,0.87261,-0.05882,0.00000
0.49655,0.87261,-0.17647,0.00000
0.43448,0.87261,-0.11765,-0.04167
0.39310,0.86624,-0.07843,-0.08333
0.36552,0.85350,-0.09804,0.00000
0.33103,0.85350,-0.15686,-0.16667
0.27586,0.82803,-0.09804,-0.12500
0.24138,0.80892,-0.05882,-0.08333
0.22069,0.79618,-0.13725,-0.20833
0.17241,0.76433,-0.03922,-0.12500
0.15862,0.74522,-0.07843,-0.20833
0.13103,0.71338,-0.05882,-0.20833
0.11034,0.68153,-0.07843,-0.25000
0.08276,0.64331,-0.01961,-0.16667
0.07586,0.61783,-0.03922,-0.20833
0.06207,0.58599,-0.01961,-0.16667
0.05517,0.56051,-0.01961,-0.12500
0.04828,0.54140,0.00000,-0.12500
0.04828,0.52229,0.00000,-0.12500
0.04828,0.50318,0.00000,-0.12500
0.04828,0.48408,0.00000,-0.08333
0.04828,0.47134,0.01961,0.00000
0.05517,0.47134,0.01961,-0.04167
0.06207,0.46497,0.00000,0.04167
0.06207,0.47134,0.01961,0.12500
0.06897,0.49045,0.00000,0.12500
0.06897,0.50955,0.00000,0.12500
0.06897,0.52866,0.01961,0.20833
0.07586,0.56051,0.01961,0.20833
0.08276,0.59236,0.00000,0.12500
0.08276,0.61146,0.03922,0.25000
0.09655,0.64968,0.05882,0.29167
0.11724,0.69427,0.05882,0.33333
0.13793,0.74522,0.05882,0.25000
0.15862,0.78344,0.03922,0.12500
0.17241,0.80255,0.09804,0.25000
0.20690,0.84076,0.07843,0.20833
0.23448,0.87261,0.09804,0.20833
0.26897,0.90446,0.07843,0.08333
0.29655,0.91720,0.13725,0.12500
0.34483,0.93631,0.11765,0.12500
0.38621,0.95541,0.13725,0.00000
0.43448,0.95541,0.07843,0.00000
0.46207,0.95541,0.15686,0.00000
0.51724,0.95541,0.07843,-0.04167
0.54483,0.94904,0.13725,-0.16667
0.59310,0.92357,0.05882,-0.08333
0.61379,0.91083,0.05882,-0.08333
0.63448,0.89809,0.09804,-0.20833
0.66897,0.86624,0.13725,-0.33333
0.71724,0.81529,0.07843,-0.29167
0.74483,0.77070,0.07843,-0.25000
0.77241,0.73248,0.07843,-0.29167
0.80000,0.68790,0.05882,-0.33333
0.82069,0.63694,0.05882,-0.29167
0.84138,0.59236,0.01961,-0.16667
0.84828,0.56688,0.05882,-0.29167
0.86897,0.52229,0.07843,-0.29167
0.89655,0.47771,0.03922,-0.29167
0.91034,0.43312,0.07843,-0.41667
0.93793,0.36943,0.01961,-0.16667
0.94483,0.34395,0.05882,-0.33333
0.96552,0.29299,0.00000,-0.16667
0.96552,0.26752,0.01961,-0.25000
0.97241,0.22930,0.03922,-0.25000
0.98621,0.19108,0.00000,-0.20833
0.98621,0.15924,0.01961,-0.16667
0.99310,0.13376,0.01961,-0.12500
1.00000,0.11465,0.00000,-0.16667
1.00000,0.08917,0.00000,-0.12500
1.00000,0.07006,-0.01961,-0.08333
0.99310,0.05732,0.01961,-0.04167
1.00000,0.05096,-0.01961,-0.08333
0.99310,0.03822,0.00000,0.00000
0.99310,0.03822,0.00000,-0.04167
0.99310,0.03185,0.00000,0.08333
0.99310,0.04459,-0.01961,0.00000
0.98621,0.04459,0.01961,0.00000
0.99310,0.04459,0.00000,0.04167
0.99310,0.05096,-0.01961,0.12500
0.98621,0.07006,0.00000,0.08333
