# X, Y, VelX, VelY |[307.; 37.;  0.;  0.][ 21.;397.;  4.;140.]
0.61905,0.00000,0.00000,0.00000
0.61905,0.00000,1.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.00000,0.00000
0.80952,0.00000,0.75000,0.00000
0.95238,0.00000,0.00000,0.00000
0.95238,0.00000,0.00000,0.00000
0.95238,0.00000,0.25000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.00000
1.00000,0.00000,0.00000,0.79286
1.00000,0.27960,0.00000,0.00000
1.00000,0.27960,0.00000,0.00000
1.00000,0.27960,-0.50000,0.10714
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,0.00000,0.00000
0.90476,0.31738,-0.75000,0.61429
0.76190,0.53401,0.00000,0.03571
0.76190,0.54660,-0.25000,0.01429
0.71429,0.55164,-0.25000,0.02143
0.66667,0.55919,-0.25000,0.02143
0.61905,0.56675,0.00000,0.00000
0.61905,0.56675,0.00000,0.00000
0.61905,0.56675,-0.25000,0.07857
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,0.00000,0.00000
0.57143,0.59446,1.00000,1.00000
0.76190,0.94710,0.00000,0.00000
0.76190,0.94710,0.00000,0.00000
0.76190,0.94710,0.00000,0.00000
0.76190,0.94710,0.00000,0.00000
0.76190,0.94710,0.00000,0.00000
0.76190,0.94710,0.25000,0.12857
0.80952,0.99244,0.25000,0.01429
0.85714,0.99748,0.00000,0.00714
0.85714,1.00000,-0.25000,0.00000
0.80952,1.00000,-0.25000,-0.01429
0.76190,0.99496,-0.25000,-0.00714
0.71429,0.99244,-0.25000,-0.01429
0.66667,0.98741,-0.25000,-0.01429
0.61905,0.98237,-0.50000,-0.00714
0.52381,0.97985,-0.25000,-0.00714
0.47619,0.97733,0.00000,-0.00714
0.47619,0.97481,-0.25000,-0.00714
0.42857,0.97229,0.00000,0.00000
0.42857,0.97229,-0.25000,-0.00714
0.38095,0.96977,-0.25000,-0.00714
0.33333,0.96725,0.00000,0.00000
0.33333,0.96725,-0.25000,0.00000
0.28571,0.96725,-0.25000,0.00000
0.23810,0.96725,-0.25000,0.00000
0.19048,0.96725,-0.25000,0.00000
0.14286,0.96725,0.00000,-0.00714
0.14286,0.96474,-0.25000,0.00000
0.09524,0.96474,0.00000,0.00000
0.09524,0.96474,0.25000,0.00000
0.14286,0.96474,0.00000,0.00000
0.14286,0.96474,0.00000,-0.00714
0.14286,0.96222,0.00000,-0.00714
0.14286,0.95970,0.25000,-0.00714
0.19048,0.95718,-0.25000,-0.00714
0.14286,0.95466,0.00000,-0.00714
0.14286,0.95214,-0.25000,0.00000
0.09524,0.95214,0.00000,-0.00714
