# X, Y, VelX, VelY |[212.; 34.;  0.;  0.][198.;322.; 22.; 20.]
0.94949,0.19255,0.18182,0.50000
0.96970,0.22360,0.18182,0.70000
0.98990,0.26708,0.00000,0.50000
0.98990,0.29814,0.00000,0.50000
0.98990,0.32919,-0.27273,0.70000
0.95960,0.37267,-0.18182,0.60000
0.93939,0.40994,-0.45455,0.50000
0.88889,0.44099,-0.45455,0.40000
0.83838,0.46584,-0.54545,0.40000
0.77778,0.49068,-0.45455,0.40000
0.72727,0.51553,-0.72727,0.10000
0.64646,0.52174,-0.63636,0.20000
0.57576,0.53416,-0.63636,0.20000
0.50505,0.54658,-0.54545,0.10000
0.44444,0.55280,-0.63636,0.10000
0.37374,0.55901,-0.54545,0.20000
0.31313,0.57143,-0.45455,0.20000
0.26263,0.58385,-0.36364,0.30000
0.22222,0.60248,-0.27273,0.50000
0.19192,0.63354,-0.18182,0.50000
0.17172,0.66460,-0.18182,0.60000
0.15152,0.70186,0.09091,0.70000
0.16162,0.74534,0.18182,0.70000
0.18182,0.78882,0.18182,0.60000
0.20202,0.82609,0.36364,0.50000
0.24242,0.85714,0.54545,0.40000
0.30303,0.88199,0.63636,0.20000
0.37374,0.89441,0.54545,0.10000
0.43434,0.90062,0.72727,0.00000
0.51515,0.90062,0.63636,-0.10000
0.58586,0.89441,0.72727,-0.20000
0.66667,0.88199,0.63636,-0.20000
0.73737,0.86957,0.63636,-0.40000
0.80808,0.84472,0.54545,-0.40000
0.86869,0.81988,0.27273,-0.50000
0.89899,0.78882,0.36364,-0.60000
0.93939,0.75155,0.09091,-0.70000
0.94949,0.70807,0.18182,-0.70000
0.96970,0.66460,0.00000,-0.70000
0.96970,0.62112,-0.09091,-0.50000
0.95960,0.59006,-0.27273,-0.60000
0.92929,0.55280,-0.27273,-0.50000
0.89899,0.52174,-0.45455,-0.20000
0.84848,0.50932,-0.54545,-0.40000
0.78788,0.48447,-0.45455,-0.20000
0.73737,0.47205,-0.54545,-0.20000
0.67677,0.45963,-0.72727,-0.30000
0.59596,0.44099,-0.63636,-0.20000
0.52525,0.42857,-0.63636,-0.30000
0.45455,0.40994,-0.54545,-0.40000
