# X, Y, VelX, VelY |[105.;186.;  0.;  0.][439.; 25.;413.; 15.]
0.43280,0.08000,-0.03148,-0.06667
0.40319,0.04000,-0.02906,0.00000
0.37585,0.04000,-0.02906,-0.06667
0.34852,0.00000,-0.02663,0.00000
0.32346,0.00000,-0.02663,0.00000
0.29841,0.00000,-0.02663,0.00000
0.27335,0.00000,-0.02421,0.06667
0.25057,0.04000,-0.02179,0.00000
0.23007,0.04000,-0.02179,0.00000
0.20957,0.04000,-0.01937,0.06667
0.19134,0.08000,-0.01695,0.06667
0.17540,0.12000,-0.01695,0.06667
0.15945,0.16000,-0.01453,0.06667
0.14579,0.20000,-0.01695,0.06667
0.12984,0.24000,-0.01937,0.06667
0.11162,0.28000,-0.01695,0.06667
0.09567,0.32000,-0.01695,0.13333
0.07973,0.40000,-0.01453,0.06667
0.06606,0.44000,-0.00969,0.06667
0.05695,0.48000,-0.00726,0.00000
0.05011,0.48000,-0.00242,0.00000
0.04784,0.48000,0.93462,-0.06667
0.92711,0.44000,0.00000,0.06667
0.92711,0.48000,0.00000,0.00000
0.92711,0.48000,-0.00484,0.00000
0.92255,0.48000,-0.00726,0.06667
0.91572,0.52000,-0.00969,0.00000
0.90661,0.52000,-0.01453,0.00000
0.89294,0.52000,-0.01937,0.06667
0.87472,0.56000,-0.01937,-0.06667
0.85649,0.52000,-0.02421,-0.06667
0.83371,0.48000,-0.02179,0.00000
0.81321,0.48000,-0.02663,0.00000
0.78815,0.48000,-0.02663,0.00000
0.76310,0.48000,-0.02906,-0.06667
0.73576,0.44000,-0.02906,-0.06667
0.70843,0.40000,-0.02906,0.00000
0.68109,0.40000,-0.02906,-0.06667
0.65376,0.36000,-0.02906,-0.06667
0.62642,0.32000,-0.02663,0.00000
0.60137,0.32000,-0.02663,-0.06667
0.57631,0.28000,-0.02906,-0.06667
0.54897,0.24000,-0.02663,0.00000
0.52392,0.24000,-0.02663,0.00000
0.49886,0.24000,-0.02663,-0.06667
0.47380,0.20000,-0.02906,0.00000
0.44647,0.20000,-0.02421,0.00000
0.42369,0.20000,-0.02421,0.00000
0.40091,0.20000,-0.02421,0.00000
0.37813,0.20000,-0.02663,0.06667
0.35308,0.24000,-0.02421,0.00000
0.33030,0.24000,-0.02179,0.00000
0.30979,0.24000,-0.02663,-0.06667
0.28474,0.20000,-0.02179,0.00000
0.26424,0.20000,-0.02179,0.00000
0.24374,0.20000,-0.02421,0.00000
0.22096,0.20000,-0.01937,-0.06667
0.20273,0.16000,-0.02179,0.00000
0.18223,0.16000,-0.02179,0.00000
0.16173,0.16000,-0.01937,0.00000
0.14351,0.16000,-0.01937,0.00000
0.12528,0.16000,-0.01937,0.06667
0.10706,0.20000,-0.01695,0.00000
0.09112,0.20000,-0.01695,0.06667
0.07517,0.24000,-0.01453,0.00000
0.06150,0.24000,-0.01211,0.00000
0.05011,0.24000,-0.01211,0.00000
0.03872,0.24000,-0.01211,0.00000
0.02733,0.24000,-0.00969,0.00000
0.01822,0.24000,0.91768,0.73333
0.88155,0.68000,-0.00726,0.00000
0.87472,0.68000,-0.01211,0.00000
0.86333,0.68000,-0.01695,-0.06667
